Unnamed: 0,llm_response,emotions
11,"Hello there, I'm sorry to hear about the rash you're experiencing. It could be a side effect of your treatment, but I recommend monitoring it closely. If it worsens or spreads, please contact our office. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
12,"Hello there, I understand your concerns about the headaches and dizziness you've been experiencing. While these symptoms could be related to treatment side effects, they might also indicate another issue. Please monitor your symptoms and let us know if they worsen. We can discuss any necessary steps at your next appointment. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
13,"Hello there, I understand your concern about the fevers and chills. While these can sometimes be related to treatment, they could also indicate an infection or other issue. Please contact your healthcare provider right away for evaluation. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
14,"Hello there, I understand your concern about the fevers and chills. While these can sometimes be related to treatment, they could also indicate an infection or other issue. Please contact your healthcare provider right away for evaluation. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
15,"Hello there, I'm sorry to hear you're experiencing difficulty swallowing and pain. These symptoms can sometimes be related to treatment, but it's important to have them evaluated. Please contact the clinic to discuss your symptoms and schedule an appointment for further assessment. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
16,"Hello there, I'm sorry to hear you're feeling this way. Fatigue is a common side effect of R-CHOP treatment, but it’s important to monitor. If your symptoms worsen or you have any other concerning signs, please contact the clinic. We’re here to help. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, remorse, approval"
17,"Hello there, I understand you're experiencing heartburn and indigestion, which can be uncomfortable. These symptoms could be related to your treatment, including the omeprazole you're taking. Please monitor your symptoms. If they persist or worsen, let me know so we can discuss further. Best, ___<｜end▁of▁sentence｜>","caring, neutral, approval"
18,"Hello there, I understand you're experiencing heartburn and indigestion, which can be uncomfortable. These symptoms could be related to your treatment, including the omeprazole you're taking. Please monitor your symptoms. If they persist or worsen, let me know so we can discuss further. Best, ___<｜end▁of▁sentence｜>","caring, neutral, approval"
19,"Hello there, I understand you're experiencing mouth sores and difficulty eating, which are common side effects of chemotherapy. To help manage this, try eating soft foods, using over-the-counter pain relievers, and consider a mouthwash designed for mouth sores. If these steps don't help, please reach out for further assistance. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, neutral, approval"
20,"Hello there, I understand you're experiencing mouth sores and difficulty eating, which are common side effects of chemotherapy. To help manage this, try eating soft foods, using over-the-counter pain relievers, and consider a mouthwash designed for mouth sores. If these steps don't help, please reach out for further assistance. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, neutral, approval"
21,"Hello there, I understand that you're experiencing hot flashes and night sweats, which are common side effects of your treatment. While these symptoms are typically related to your therapy, if they worsen or if you have any concerns, please don't hesitate to reach out. We're here to support you. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
22,"Hello there, I understand that you're experiencing hot flashes and night sweats, which are common side effects of your treatment. While these symptoms are typically related to your therapy, if they worsen or if you have any concerns, please don't hesitate to reach out. We're here to support you. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
23,"Hello there, I understand your concern about the swelling in your legs and feet. While this can sometimes be related to treatment, it could also indicate another issue. Please monitor the swelling and let me know if it doesn’t improve or gets worse. We’ll discuss any needed tests at your next appointment. Best, ___<｜end▁of▁sentence｜>","caring, approval, optimism"
24,"Hello there, I'm sorry to hear about your symptoms. Headaches and difficulty concentrating can be concerning, and while they may be related to treatment, it's important to have them evaluated. Please contact your provider to discuss your symptoms. I'm here if you have more questions. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
25,"Hello there, I'm sorry to hear about your symptoms. Headaches and difficulty concentrating can be concerning, and while they may be related to treatment, it's important to have them evaluated. Please contact your provider to discuss your symptoms. I'm here if you have more questions. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
26,"Hello there, I'm sorry you're feeling this way. It's understandable to feel concerned about your symptoms. While some side effects from durvalumab can cause breathing issues, your shortness of breath and cough could also be related to your COPD or another issue. Please contact your healthcare provider to discuss your symptoms and get evaluated. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
27,"Hello there, I'm sorry you're feeling this way. It's understandable to feel concerned about your symptoms. While some side effects from durvalumab can cause breathing issues, your shortness of breath and cough could also be related to your COPD or another issue. Please contact your healthcare provider to discuss your symptoms and get evaluated. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
28,"Hello there, I'm sorry to hear you're experiencing abdominal pain and swelling. While these symptoms can sometimes be related to treatment, it's important to have them evaluated. Please contact your healthcare provider to discuss your symptoms and schedule an evaluation. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
29,"Hello there, I'm sorry to hear you're experiencing abdominal pain and swelling. While these symptoms can sometimes be related to treatment, it's important to have them evaluated. Please contact your healthcare provider to discuss your symptoms and schedule an evaluation. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
30,"Hello there, I'm sorry to hear you're feeling this way. The itching and yellowing of your skin could be related to your treatment, but it's important to check if there's another cause. Please contact your healthcare provider right away to discuss these symptoms. Best, ___.<｜end▁of▁sentence｜>","caring, remorse, approval"
31,"Hello there, I'm sorry to hear you're feeling this way. The itching and yellowing of your skin could be related to your treatment, but it's important to check if there's another cause. Please contact your healthcare provider right away to discuss these symptoms. Best, ___.<｜end▁of▁sentence｜>","caring, remorse, approval"
32,"Hello there, I’m sorry to hear about your pelvic pain. It’s important to let your provider know so they can help. If the pain is severe or gets worse, or if you have any other concerning symptoms, please consider going to the ER. Otherwise, contact your provider for guidance. Best, ___<｜end▁of▁sentence｜>","caring, sadness, remorse"
33,"Hello there, I’m sorry to hear about your pelvic pain. It’s important to let your provider know so they can help. If the pain is severe or gets worse, or if you have any other concerning symptoms, please consider going to the ER. Otherwise, contact your provider for guidance. Best, ___<｜end▁of▁sentence｜>","caring, sadness, remorse"
34,"Hello there, I'm sorry to hear about your discomfort and falls. It's important to take it easy, monitor your symptoms, and consider using assistive devices if needed. Please bring this up at your next appointment so we can address it together. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
35,"Hello there, I'm sorry you're feeling this way. It's important to contact your healthcare provider right away about the new lump, especially since you're currently undergoing treatment. Please don't wait until your next visit. We're here to support you, and your provider will help address your concerns. Best, ___<｜end▁of▁sentence｜>","caring, approval, remorse"
36,"Hello there, I understand your concerns about the shortness of breath and wheezing. These symptoms could be related to your COPD or a side effect of your treatment. It’s important to have them evaluated by your oncology team. Please reach out to them to discuss your symptoms. If you have more questions, feel free to ask. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
37,"Hello there, I'm sorry you're feeling this way. Fatigue and decreased appetite are common during chemotherapy. However, if these symptoms worsen or you have other concerns, please let me know. We can discuss any needed tests at your next appointment. Best, ___.<｜end▁of▁sentence｜>","caring, remorse, sadness"
38,"Hello there, I'm sorry to hear about your discomfort. Severe abdominal pain and vomiting can be serious, so I recommend seeking immediate medical attention at the emergency room. Please let me know if you have any further questions. Best, [Your Name]<｜end▁of▁sentence｜>","caring, sadness, remorse"
39,"Hello there, I'm sorry to hear you're feeling this way. It's understandable to be uncomfortable with these symptoms. For the nausea, continue using Zofran as needed. For the headache, if you're not already taking ibuprofen, you might try that. Rest and stay hydrated. If symptoms worsen, please reach out. We’ll discuss any needed tests at your next appointment. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
40,"Hello there, I'm sorry to hear you're feeling this way. It's understandable to be uncomfortable with these symptoms. For the nausea, continue using Zofran as needed. For the headache, if you're not already taking ibuprofen, you might try that. Rest and stay hydrated. If symptoms worsen, please reach out. We’ll discuss any needed tests at your next appointment. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
41,"Hello there, I'm sorry to hear you're feeling this way. Shortness of breath and swelling in your arm aren't typical symptoms for Hodgkin's lymphoma treatment, but they could be related to other issues. Please contact your healthcare provider right away to get evaluated. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
42,"Hello there, I'm sorry to hear you're feeling this way. Shortness of breath and swelling in your arm aren't typical symptoms for Hodgkin's lymphoma treatment, but they could be related to other issues. Please contact your healthcare provider right away to get evaluated. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
43,"Hello there, I'm sorry to hear you're feeling lightheaded. It's concerning, and I want you to feel better. Please rest and stay hydrated. If this persists or gets worse, contact your primary care provider or come to the clinic. We’re here to help. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, sadness"
44,"Hello there, I'm sorry to hear you're feeling lightheaded. It's concerning, and I want you to feel better. Please rest and stay hydrated. If this persists or gets worse, contact your primary care provider or come to the clinic. We’re here to help. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, sadness"
45,"Hello there, I'm sorry to hear you're experiencing hot flashes. Yes, they are a common side effect of your treatment. To help manage them, try staying cool, using a fan, wearing light clothing, and practicing relaxation techniques. You can discuss further options with me at your next visit. Best, ___<｜end▁of▁sentence｜>","caring, approval, remorse"
46,"Hello there, thank you for letting me know how you're feeling. It's important to monitor any new or worsening symptoms. Could you describe the shortness of breath and wheezing you're experiencing? For now, please continue taking your asthma medications as prescribed unless you experience an allergic reaction or severe side effects. We can discuss any adjustments at your next appointment. I'm here to help. Best, ___<｜end▁of▁sentence｜>","gratitude, caring, curiosity"
47,"Hello there, I'm sorry to hear about your discomfort. It's important to contact your primary care provider or urologist right away for advice. If the pain persists or you can't urinate, please go to the emergency room. I hope you feel better soon. Best, ___<｜end▁of▁sentence｜>","caring, optimism, remorse"
48,"Hello there, I'm sorry to hear about your discomfort with the heartburn and acid reflux despite taking omeprazole. It's important to consult your oncologist before making any changes to your medication. Please reach out to them for guidance. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
49,"Hello there, I'm sorry to hear about your discomfort with the heartburn and acid reflux despite taking omeprazole. It's important to consult your oncologist before making any changes to your medication. Please reach out to them for guidance. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
50,"Hello there, I'm sorry to hear about your joint pain. It can be a side effect of immunotherapy. If it's bothering you, please bring it up at your next visit so we can discuss it further. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
51,"Hello there, I'm sorry you're feeling this way. While tamoxifen is generally well-tolerated, chest pressure isn't a common side effect. It's important to monitor your symptoms. If they persist or worsen, please contact your provider. In the meantime, consider resting, using over-the-counter pain relievers like ibuprofen if needed, and applying heat or ice to the area for comfort. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
52,"Hello there, I'm sorry you're feeling this way. While tamoxifen is generally well-tolerated, chest pressure isn't a common side effect. It's important to monitor your symptoms. If they persist or worsen, please contact your provider. In the meantime, consider resting, using over-the-counter pain relievers like ibuprofen if needed, and applying heat or ice to the area for comfort. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
53,"Hello there, I’m sorry to hear about your seizure. It’s important to seek immediate medical attention. Please contact your provider for further instructions and evaluation. Your provider will be able to guide you on the next steps. Take care, and reach out to your provider as soon as possible. Best, ___<｜end▁of▁sentence｜>","caring, approval, optimism"
54,"Hello there, I'm sorry to hear about your increased pain. Please contact our office to schedule an appointment so we can evaluate and address your symptoms. We can discuss any needed tests at your next visit. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
55,"Hello there, I'm sorry to hear about your increased pain. Please contact our office to schedule an appointment so we can evaluate and address your symptoms. We can discuss any needed tests at your next visit. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
56,"Hello there, I understand how frustrating and uncomfortable your symptoms must be. Nausea and vomiting can be challenging, especially when they persist despite medications. I recommend reaching out to your oncologist to discuss this further, as they can provide personalized advice based on your treatment plan. Please let me know if you need anything else. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
57,"Hello there, I understand your concerns about the new symptoms you're experiencing. It's important to have these evaluated, especially given your medical history. Please contact our office so we can discuss your symptoms and arrange for an evaluation. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
58,"Hello there, I understand your concerns about the new symptoms you're experiencing. It's important to have these evaluated, especially given your medical history. Please contact our office so we can discuss your symptoms and arrange for an evaluation. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
59,"Hello there, I understand that the tingling in your fingers is making it hard to use your phone. While I can't recommend specific treatments, you might consider over-the-counter pain relievers like gabapentin or ibuprofen. You can also discuss adjusting your neuropathy medications with your provider. In the meantime, using assistive devices for your phone might help. I hope this helps ease your discomfort. Best, ___<｜end▁of▁sentence｜>","caring, optimism, approval"
60,"Hello there, I'm sorry to hear about your symptoms. Shortness of breath and coughing up blood can be serious, so please go to the emergency room right away. You can speak with me when you're feeling better. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
61,"Hello there, I'm sorry to hear about your discomfort with constipation. It's important to stay hydrated and increase your fiber intake. If these steps don't help, please reach out to your primary care provider for further assistance. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
62,"Hello there, I'm sorry to hear about your discomfort with constipation. It's important to stay hydrated and increase your fiber intake. If these steps don't help, please reach out to your primary care provider for further assistance. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
63,"Hello there, I’m sorry to hear about the rash you’re experiencing. It could be related to your treatment, as skin reactions can occur with immunotherapy. Please monitor it, and if it gets worse or spreads, contact our office. We’ll discuss any needed tests at your next appointment. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
64,"Hello there, I’m sorry to hear about the rash you’re experiencing. It could be related to your treatment, as skin reactions can occur with immunotherapy. Please monitor it, and if it gets worse or spreads, contact our office. We’ll discuss any needed tests at your next appointment. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
65,"Hello there, I understand how frustrating and uncomfortable your symptoms must be. While you're already taking Zofran, you might consider trying ginger, peppermint, or other anti-nausea medications. Please discuss these options with your provider at your next visit. If your symptoms worsen, feel free to reach out to the oncology clinic for further guidance. Best, [Your Name]<｜end▁of▁sentence｜>","caring, neutral, approval"
66,"Hello there, I understand how frustrating and uncomfortable your symptoms must be. While you're already taking Zofran, you might consider trying ginger, peppermint, or other anti-nausea medications. Please discuss these options with your provider at your next visit. If your symptoms worsen, feel free to reach out to the oncology clinic for further guidance. Best, [Your Name]<｜end▁of▁sentence｜>","caring, neutral, approval"
67,"Hello there, I understand how challenging this must be for you. Diarrhea with blood can be concerning, and I’m sorry you’re experiencing this. To help manage it, try staying hydrated, eating bland foods, and avoiding foods that can irritate your digestive system. These steps may help, but it’s important to reach out to your care team for more specific advice or interventions. Please let me know if you need anything else. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, remorse"
68,"Hello there, I understand how challenging this must be for you. Diarrhea with blood can be concerning, and I’m sorry you’re experiencing this. To help manage it, try staying hydrated, eating bland foods, and avoiding foods that can irritate your digestive system. These steps may help, but it’s important to reach out to your care team for more specific advice or interventions. Please let me know if you need anything else. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, remorse"
69,"Hello there, I'm sorry you're feeling this way. Fatigue is a common side effect of stereotactic radiotherapy, especially as your treatment is just beginning. It’s normal to feel tired, but if it gets worse or you have other concerning symptoms, please reach out. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
70,"Hello there, I'm sorry you're feeling this way. Fatigue is a common side effect of stereotactic radiotherapy, especially as your treatment is just beginning. It’s normal to feel tired, but if it gets worse or you have other concerning symptoms, please reach out. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
71,"Hello there, I understand your concern about the burning pain in your left arm. While this isn't a common side effect of chemotherapy or hormone therapy, it could be related to nerve issues or other factors. Please contact the clinic for an evaluation, as we want to ensure it's addressed properly. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
72,"Hello there, I understand your concern about the burning pain in your left arm. While this isn't a common side effect of chemotherapy or hormone therapy, it could be related to nerve issues or other factors. Please contact the clinic for an evaluation, as we want to ensure it's addressed properly. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
73,"Hello there, I understand your concern about the fever. Given that you're receiving chemotherapy and immunotherapy, it's important to monitor any fever. If your temperature rises again or if you develop other symptoms like shortness of breath, chills, or severe fatigue, please contact us immediately. You can reach out to our office if your fever returns or if you have more concerns. Take care, and we're here to support you. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
74,"Hello there, I understand how alarming this must be for you. Please contact your healthcare provider immediately and go to the emergency room if you cannot reach them. We are here to help you through this. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, optimism"
75,"Hello there, I understand how alarming this must be for you. Please contact your healthcare provider immediately and go to the emergency room if you cannot reach them. We are here to help you through this. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, optimism"
76,"Hello there, I'm sorry to hear you're feeling this way. Fatigue and dizziness can be challenging, especially during treatment. While we can discuss any needed tests at your next appointment, I recommend focusing on a balanced diet, staying hydrated, and getting enough rest. Please let me know if you need anything else. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, remorse, approval"
77,"Hello there, I'm sorry to hear you're feeling this way. Fatigue and dizziness can be challenging, especially during treatment. While we can discuss any needed tests at your next appointment, I recommend focusing on a balanced diet, staying hydrated, and getting enough rest. Please let me know if you need anything else. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, remorse, approval"
78,"Hello there, I understand your concern about the discharge. It’s normal to feel worried, but many women experience changes like this after treatment. While it’s not always a sign of cancer recurrence, it’s important to monitor. Please mention this to your provider during your next visit so they can check it. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
79,"Hello there, I understand your concern about the increased shortness of breath and wheezing. It’s important to have this evaluated by your primary care provider or seek immediate medical attention. Please contact them to discuss your symptoms and next steps. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
80,"Hello there, I understand your concern about the increased shortness of breath and wheezing. It’s important to have this evaluated by your primary care provider or seek immediate medical attention. Please contact them to discuss your symptoms and next steps. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
81,"Hello there, I understand your concern about the swelling and tenderness in your breasts. While these symptoms can sometimes be related to cancer recurrence, they could also be due to other causes like hormonal changes or infection. It’s important to monitor these symptoms, and we can discuss them further at your next appointment. Please don’t hesitate to reach out if you have more questions. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
Unnamed: 0,llm_response,emotions
0,"Hello there, I understand you're feeling more fatigued than usual. Fatigue is a common side effect of cancer treatment, especially during chemoradiation. It’s important to rest and stay hydrated. If your fatigue worsens or doesn’t improve, we can discuss it further at your next appointment. Take care, Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
1,"Hello there, I understand you're feeling more fatigued than usual. Fatigue is a common side effect of cancer treatment, especially during chemoradiation. It’s important to rest and stay hydrated. If your fatigue worsens or doesn’t improve, we can discuss it further at your next appointment. Take care, Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
2,"Hello there, I understand your concern about hair loss. It’s a common side effect of chemotherapy, and I’m sorry you’re experiencing this. To help minimize hair loss, you can use gentle hair care products, avoid harsh treatments, and consider cooling caps if available. Your hair should regrow after treatment ends. Please let me know if you have more questions. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
3,"Hello there, I understand your concern about hair loss. It’s a common side effect of chemotherapy, and I’m sorry you’re experiencing this. To help minimize hair loss, you can use gentle hair care products, avoid harsh treatments, and consider cooling caps if available. Your hair should regrow after treatment ends. Please let me know if you have more questions. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
4,"Hello there, I'm sorry to hear about your severe diarrhea. It’s important to let your oncology team know so they can provide guidance. In the meantime, stay hydrated and rest. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
5,"Hello there, I'm sorry to hear about your severe diarrhea. It’s important to let your oncology team know so they can provide guidance. In the meantime, stay hydrated and rest. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
6,"Hello there, I'm sorry to hear you're experiencing abdominal bloating and discomfort. While this can sometimes be related to treatment, it's important to have it evaluated. Please contact your provider for further assessment. You can speak with me directly if you have more questions. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
7,"Hello there, I’m sorry to hear about your symptoms. It’s understandable to feel concerned. While some treatment side effects can cause similar symptoms, it’s important to have your oncologist evaluate your condition. Please contact them to discuss your symptoms and schedule an evaluation. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, remorse, approval"
8,"Hello there, I'm sorry to hear about your nausea and vomiting. It's important to let your oncology team know so they can help you feel better. Please reach out to them as soon as you can. Best, ___.","caring, remorse, sadness"
9,"Hello there, I'm sorry to hear about your nausea and vomiting. It's important to let your oncology team know so they can help you feel better. Please reach out to them as soon as you can. Best, ___.","caring, remorse, sadness"
10,"Hello there, I understand your concern about the lower back pain. It’s possible it could be related to your treatment, but it’s important to check for other causes. Please contact our office so we can evaluate and address it. I’m here to help. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
11,"Hello there, I'm sorry to hear about the rash you're experiencing. It could be a side effect of your treatment, but I recommend monitoring it closely. If it worsens or spreads, please contact our office. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
12,"Hello there, I understand your concerns about the headaches and dizziness you've been experiencing. While these symptoms could be related to treatment side effects, they might also indicate another issue. Please monitor your symptoms and let us know if they worsen. We can discuss any necessary steps at your next appointment. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
13,"Hello there, I understand your concern about the fevers and chills. While these can sometimes be related to treatment, they could also indicate an infection or other issue. Please contact your healthcare provider right away for evaluation. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
14,"Hello there, I understand your concern about the fevers and chills. While these can sometimes be related to treatment, they could also indicate an infection or other issue. Please contact your healthcare provider right away for evaluation. Best, [Your Name]<｜end▁of▁sentence｜>","caring, approval, neutral"
15,"Hello there, I'm sorry to hear you're experiencing difficulty swallowing and pain. These symptoms can sometimes be related to treatment, but it's important to have them evaluated. Please contact the clinic to discuss your symptoms and schedule an appointment for further assessment. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
16,"Hello there, I'm sorry to hear you're feeling this way. Fatigue is a common side effect of R-CHOP treatment, but it’s important to monitor. If your symptoms worsen or you have any other concerning signs, please contact the clinic. We’re here to help. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, remorse, approval"
17,"Hello there, I understand you're experiencing heartburn and indigestion, which can be uncomfortable. These symptoms could be related to your treatment, including the omeprazole you're taking. Please monitor your symptoms. If they persist or worsen, let me know so we can discuss further. Best, ___<｜end▁of▁sentence｜>","caring, neutral, approval"
18,"Hello there, I understand you're experiencing heartburn and indigestion, which can be uncomfortable. These symptoms could be related to your treatment, including the omeprazole you're taking. Please monitor your symptoms. If they persist or worsen, let me know so we can discuss further. Best, ___<｜end▁of▁sentence｜>","caring, neutral, approval"
19,"Hello there, I understand you're experiencing mouth sores and difficulty eating, which are common side effects of chemotherapy. To help manage this, try eating soft foods, using over-the-counter pain relievers, and consider a mouthwash designed for mouth sores. If these steps don't help, please reach out for further assistance. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, neutral, approval"
20,"Hello there, I understand you're experiencing mouth sores and difficulty eating, which are common side effects of chemotherapy. To help manage this, try eating soft foods, using over-the-counter pain relievers, and consider a mouthwash designed for mouth sores. If these steps don't help, please reach out for further assistance. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, neutral, approval"
21,"Hello there, I understand that you're experiencing hot flashes and night sweats, which are common side effects of your treatment. While these symptoms are typically related to your therapy, if they worsen or if you have any concerns, please don't hesitate to reach out. We're here to support you. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
22,"Hello there, I understand that you're experiencing hot flashes and night sweats, which are common side effects of your treatment. While these symptoms are typically related to your therapy, if they worsen or if you have any concerns, please don't hesitate to reach out. We're here to support you. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
23,"Hello there, I understand your concern about the swelling in your legs and feet. While this can sometimes be related to treatment, it could also indicate another issue. Please monitor the swelling and let me know if it doesn’t improve or gets worse. We’ll discuss any needed tests at your next appointment. Best, ___<｜end▁of▁sentence｜>","caring, approval, optimism"
24,"Hello there, I'm sorry to hear about your symptoms. Headaches and difficulty concentrating can be concerning, and while they may be related to treatment, it's important to have them evaluated. Please contact your provider to discuss your symptoms. I'm here if you have more questions. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
25,"Hello there, I'm sorry to hear about your symptoms. Headaches and difficulty concentrating can be concerning, and while they may be related to treatment, it's important to have them evaluated. Please contact your provider to discuss your symptoms. I'm here if you have more questions. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
26,"Hello there, I'm sorry you're feeling this way. It's understandable to feel concerned about your symptoms. While some side effects from durvalumab can cause breathing issues, your shortness of breath and cough could also be related to your COPD or another issue. Please contact your healthcare provider to discuss your symptoms and get evaluated. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
27,"Hello there, I'm sorry you're feeling this way. It's understandable to feel concerned about your symptoms. While some side effects from durvalumab can cause breathing issues, your shortness of breath and cough could also be related to your COPD or another issue. Please contact your healthcare provider to discuss your symptoms and get evaluated. Best, ___<｜end▁of▁sentence｜>","caring, remorse, approval"
